year,legal_entities,legal_entities_with_activated_investments,employees,turnover_total,capitalized_gross_fixed_investments_total,capitalized_gross_fixed_investments_per_employee,capitalized_gross_fixed_investments_relative_to_turnover
2011,259,227,15880,1976804,25935,1633,1.3
2012,256,217,16286,2027093,24622,1512,1.2
2013,268,229,16798,2065026,24744,1473,1.2
2014,276,236,17133,2191332,30707,1792,1.4
2015,267,231,16927,2279232,32383,1913,1.4
2016,295,257,18452,2468967,39100,2119,1.6
2017,315,276,19760,2560309,36399,1842,1.4
2018,303,260,20331,2802782,55457,2728,2
2019,339,291,21848,3142555,57793,2645,1.8
2020,352,307,22115,3337342,62074,2807,1.9
2021,351,302,22705,3395434,46888,2065,1.4
